Q,A,label
더 건강한 크랩의 칼로리는 몇이야?,1팩 8개 (150g)당 - 칼로리: 155kcal | 지방: 2.40g | 탄수화물: 15.00g | 단백질: 18.00g,1
더 건강한 페퍼&갈릭의 칼로리는 몇이야?,(100g)당 - 칼로리: 330kcal | 지방: 29.00g | 탄수화물: 3.00g | 단백질: 14.00g,1
더블갈릭바베큐의 칼로리는 몇이야?,2조각 (165g)당 - 칼로리: 447kcal | 지방: 6.00g | 탄수화물: 60.00g | 단백질: 20.00g,1
더킹 쉬림프 크림치즈의 칼로리는 몇이야?,(100g)당 - 칼로리: 90kcal | 지방: 1.80g | 탄수화물: 10.00g | 단백질: 8.00g,1
데미소다 레몬의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g,1
데미소다 복숭아의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g,1
데미소다 청포도의 칼로리는 몇이야?,(1인분)  (250ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g,1
데일리씨 망고400의 칼로리는 몇이야?,1병 (140ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g,1
델리황 매운맛 (20g)의 칼로리는 몇이야?,1봉지 (20g)당 - 칼로리: 75kcal | 지방: 0.70g | 탄수화물: 7.00g | 단백질: 10.00g,1
도다리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 115kcal | 지방: 2.80g | 탄수화물: 0g | 단백질: 21.08g,1
도루묵의 칼로리는 몇이야?,(100g)  당 - 칼로리: 109kcal | 지방: 5.44g | 탄수화물: 0g | 단백질: 14.13g,1
도미의 칼로리는 몇이야?,(1마리)당 - 칼로리: 218kcal | 지방: 2.92g | 탄수화물: 0.00g | 단백질: 44.71g,1
도이치바이트피자의 칼로리는 몇이야?,2조각 (188g)당 - 칼로리: 485kcal | 지방: 24.00g | 탄수화물: 63.00g | 단백질: 23.00g,1
도토리묵의 칼로리는 몇이야?,(100g)  당 - 칼로리: 44kcal | 지방: 0.20g | 탄수화물: 10.00g | 단백질: 0.20g,1
돈까스김밥의 칼로리는 몇이야?,1 줄당 - 칼로리: 526kcal | 지방: 9.73g | 탄수화물: 91.34g | 단백질: 14.73g,1
돈부리의 칼로리는 몇이야?,(1인분)당 - 칼로리: 655kcal | 지방: 15.61g | 탄수화물: 95.87g | 단백질: 29.03g,1
돈부의 칼로리는 몇이야?,1/9봉지 (30g)당 - 칼로리: 118kcal | 지방: 1.80g | 탄수화물: 23.00g | 단백질: 3.00g,1
돌 망고 컵의 칼로리는 몇이야?,(1인분)  (198g)당 - 칼로리: 145kcal | 지방: 0.40g | 탄수화물: 34.00g | 단백질: 1.00g,1
돌김 자반볶음의 칼로리는 몇이야?,1회 (65g)당 - 칼로리: 565kcal | 지방: 40.16g | 탄수화물: 30.62g | 단백질: 20.30g,1
돌아온 와클의 칼로리는 몇이야?,(1인분)  (76g)당 - 칼로리: 377kcal | 지방: 17.00g | 탄수화물: 51.00g | 단백질: 5.00g,1
동그랑땡의 칼로리는 몇이야?,(1개)당 - 칼로리: 30kcal | 지방: 2.11g | 탄수화물: 0.93g | 단백질: 1.72g,1
동원알래스카연어통살의 칼로리는 몇이야?,(100g)당 - 칼로리: 135kcal | 지방: 9.00g | 탄수화물: 1.00g | 단백질: 13.00g,1
동태국의 칼로리는 몇이야?,(1인분)당 - 칼로리: 219kcal | 지방: 5.23g | 탄수화물: 17.54g | 단백질: 25.97g,1
동태의 칼로리는 몇이야?,(100g)  당 - 칼로리: 81kcal | 지방: 0.8g | 탄수화물: 0.0g | 단백질: 17.18g,1
동태전의 칼로리는 몇이야?,(1인분)당 - 칼로리: 258kcal | 지방: 13.16g | 탄수화물: 9.89g | 단백질: 23.69g,1
동태찌개의 칼로리는 몇이야?,(1인분)당 - 칼로리: 408kcal | 지방: 9.23g | 탄수화물: 23.06g | 단백질: 60.01g,1
동태찜의 칼로리는 몇이야?,(1인분)당 - 칼로리: 195kcal | 지방: 5.34g | 탄수화물: 14.95g | 단백질: 22.02g,1
동태탕의 칼로리는 몇이야?,(1인분)당 - 칼로리: 158kcal | 지방: 3.61g | 탄수화물: 12.72g | 단백질: 18.95g,1
돼지고기김치찌개의 칼로리는 몇이야?,(1인분)당 - 칼로리: 128kcal | 지방: 8.09g | 탄수화물: 6.38g | 단백질: 8.17g,1
두리안의 칼로리는 몇이야?,(1개)당 - 칼로리: 885kcal | 지방: 32.09g | 탄수화물: 163.08g | 단백질: 8.85g,1
두부봉 해물 (180g)의 칼로리는 몇이야?,1 총 (180g)당 - 칼로리: 255kcal | 지방: 13.00g | 탄수화물: 22.00g | 단백질: 14.00g,1
듬뿍복숭아의 칼로리는 몇이야?,100ml당 - 칼로리: 40kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g,1
따뜻한 허니 레몬&배의 칼로리는 몇이야?,(1인분)  (280ml)당 - 칼로리: 150kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g,1
따봉의 칼로리는 몇이야?,(1캔)(340ml)당 - 칼로리: 160kcal | 지방: 0.00g | 탄수화물: 40.00g | 단백질: 0.00g,1
딸기 시럽의 칼로리는 몇이야?,(100g)  당 - 칼로리: 92kcal | 지방: 0.26g | 탄수화물: 23.53g | 단백질: 0.56g,1
딸기바나나의 칼로리는 몇이야?,(1인분)  (220ml)당 - 칼로리: 124kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g,1
딸기블루베리타르트의 칼로리는 몇이야?,30회 (70g)당 - 칼로리: 119kcal | 지방: 3.40g | 탄수화물: 20.00g | 단백질: 2.00g,1
딸기의 칼로리는 몇이야?,(1개) 중형당 - 칼로리: 4kcal | 지방: 0.04g | 탄수화물: 0.92g | 단백질: 0.08g,1
땡큐베리진생의 칼로리는 몇이야?,1개 (420g)당 - 칼로리: 130kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.00g,1
떡갈비의 칼로리는 몇이야?,(100g)당 - 칼로리: 265kcal | 지방: 18.00g | 탄수화물: 9.00g | 단백질: 17.00g,1
떡의 칼로리는 몇이야?,1 회당 - 칼로리: 224kcal | 지방: 0.77g | 탄수화물: 48.69g | 단백질: 4.64g,1
뚜또밀감의 칼로리는 몇이야?,(1컵) (250g)당 - 칼로리: 152kcal | 지방: 0.90g | 탄수화물: 34.00g | 단백질: 2.00g,1
라임의 칼로리는 몇이야?,(100g)  당 - 칼로리: 30kcal | 지방: 0.2g | 탄수화물: 10.54g | 단백질: 0.7g,1
람부탄 컵의 칼로리는 몇이야?,(1인분)  (198g)당 - 칼로리: 140kcal | 지방: 0.20g | 탄수화물: 33.00g | 단백질: 1.00g,1
랍스타구이의 칼로리는 몇이야?,(1마리) 작은것당 - 칼로리: 137kcal | 지방: 3.55g | 탄수화물: 1.46g | 단백질: 23.34g,1
랍스타의 칼로리는 몇이야?,(1마리) 작은것당 - 칼로리: 114kcal | 지방: 0.68g | 탄수화물: 1.50g | 단백질: 23.99g,1
랍스터킹의 칼로리는 몇이야?,(100g)당 - 칼로리: 95kcal | 지방: 2.00g | 탄수화물: 10.00g | 단백질: 9.00g,1
레드 딜리셔스 애플의 칼로리는 몇이야?,(1개) 중간크기당 - 칼로리: 72kcal | 지방: 0.23g | 탄수화물: 19.06g | 단백질: 0.36g,1
레드 식사용 와인의 칼로리는 몇이야?,1 150ml 잔당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 3.84g | 단백질: 0.10g,1
레드향의 칼로리는 몇이야?,(100g)당 - 칼로리: 50kcal | 지방: 0.10g | 탄수화물: 13.00g | 단백질: 0.10g,1
레모네이드맛 음료의 칼로리는 몇이야?,(1컵)당 - 칼로리: 92kcal | 지방: 0g | 탄수화물: 22.52g | 단백질: 0g,1
레모네이드의 칼로리는 몇이야?,(1컵)당 - 칼로리: 99kcal | 지방: 0.10g | 탄수화물: 25.87g | 단백질: 0.17g,1
레몬 껍질의 칼로리는 몇이야?,1 테이블스푼당 - 칼로리: 3kcal | 지방: 0.02g | 탄수화물: 0.96g | 단백질: 0.09g,1
레몬 먹은 비타민의 칼로리는 몇이야?,(1컵) (200g)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g,1
레몬녹차의 칼로리는 몇이야?,100ml당 - 칼로리: 35kcal | 지방: 0.00g | 탄수화물: 8.00g | 단백질: 0.00g,1
레몬에이드 (240ml)의 칼로리는 몇이야?,1회 (240ml)당 - 칼로리: 100kcal | 지방: 0.00g | 탄수화물: 25.00g | 단백질: 0.00g,1
레몬에이드의 칼로리는 몇이야?,(1캔)(240ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 17.00g | 단백질: 0.00g,1
레몬워터의 칼로리는 몇이야?,1개 (500ml)당 - 칼로리: 104kcal | 지방: 0.00g | 탄수화물: 26.00g | 단백질: 0.00g,1
레몬의 칼로리는 몇이야?,(1개)당 - 칼로리: 17kcal | 지방: 0.17g | 탄수화물: 5.41g | 단백질: 0.64g,1
레쓰비 그란데라떼의 칼로리는 몇이야?,100ml당 - 칼로리: 34kcal | 지방: 0.38g | 탄수화물: 6.80g | 단백질: 0.80g,1
레쓰비 솔트커피의 칼로리는 몇이야?,(1캔)(240ml)당 - 칼로리: 115kcal | 지방: 0.70g | 탄수화물: 25.00g | 단백질: 1.70g,1
레쓰비 연유커피의 칼로리는 몇이야?,(1캔)(240ml)당 - 칼로리: 115kcal | 지방: 1.00g | 탄수화물: 25.00g | 단백질: 1.00g,1
로제 와인의 칼로리는 몇이야?,1 잔당 - 칼로리: 73kcal | 지방: 0.00g | 탄수화물: 4.24g | 단백질: 0.25g,1
로투스 소프트 와플의 칼로리는 몇이야?,1봉지 (50g)당 - 칼로리: 231kcal | 지방: 12.80g | 탄수화물: 26.20g | 단백질: 2.80g,1
롱리얼크랩스의 칼로리는 몇이야?,(1인분)  (70g)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 9.00g | 단백질: 6.00g,1
루트 맥주의 칼로리는 몇이야?,1 캔당 - 칼로리: 152kcal | 지방: 0.00g | 탄수화물: 39.22g | 단백질: 0.00g,1
리모나타의 칼로리는 몇이야?,100ml당 - 칼로리: 43kcal | 지방: 0.00g | 탄수화물: 10.00g | 단백질: 0.00g,1
리얼 롱 크랩스의 칼로리는 몇이야?,(1인분)  (70g)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 9.00g | 단백질: 6.00g,1
리즐링 와인의 칼로리는 몇이야?,1 150ml 잔당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 5.54g | 단백질: 0.10g,1
리치의 칼로리는 몇이야?,(1개)당 - 칼로리: 6kcal | 지방: 0.04g | 탄수화물: 1.59g | 단백질: 0.08g,1
리코타 과일 샐러드의 칼로리는 몇이야?,(1인분)  (165g)당 - 칼로리: 205kcal | 지방: 8.00g | 탄수화물: 18.00g | 단백질: 3.00g,1
마라스키노 체리의 칼로리는 몇이야?,(1개)당 - 칼로리: 7kcal | 지방: 0.01g | 탄수화물: 1.80g | 단백질: 0.01g,1
마른새우의 칼로리는 몇이야?,(100g)  당 - 칼로리: 253kcal | 지방: 3.44g | 탄수화물: 0.0g | 단백질: 51.7g,1
마른오징어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 349kcal | 지방: 5.23g | 탄수화물: 11.68g | 단백질: 59.06g,1
마일드 워터의 칼로리는 몇이야?,1병 (500ml)당 - 칼로리: 135kcal | 지방: 0.00g | 탄수화물: 13.00g | 단백질: 0.00g,1
마히마히의 칼로리는 몇이야?,(1마리)당 - 칼로리: 100kcal | 지방: 0.82g | 탄수화물: 0.00g | 단백질: 21.76g,1
만다린 오렌지의 칼로리는 몇이야?,(1컵)당 - 칼로리: 154kcal | 지방: 0.25g | 탄수화물: 40.80g | 단백질: 1.13g,1
만두전골의 칼로리는 몇이야?,(1인분)당 - 칼로리: 569kcal | 지방: 22.19g | 탄수화물: 75.86g | 단백질: 23.48g,1
말린 과일 혼합의 칼로리는 몇이야?,(1컵)당 - 칼로리: 332kcal | 지방: 0.60g | 탄수화물: 88.14g | 단백질: 2.98g,1
말린 살구의 칼로리는 몇이야?,1 반쪽조각당 - 칼로리: 8kcal | 지방: 0.02g | 탄수화물: 2.19g | 단백질: 0.12g,1
말린 크랜베리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 308kcal | 지방: 1.37g | 탄수화물: 82.36g | 단백질: 0.07g,1
맛살의 칼로리는 몇이야?,(1개)당 - 칼로리: 35kcal | 지방: 0.74g | 탄수화물: 2.11g | 단백질: 4.77g,1
망고 워터젤리의 칼로리는 몇이야?,100ml당 - 칼로리: 50kcal | 지방: 0.00g | 탄수화물: 13.00g | 단백질: 0.00g,1
망고 컵의 칼로리는 몇이야?,1회 (198g)당 - 칼로리: 145kcal | 지방: 0.40g | 탄수화물: 34.00g | 단백질: 1.00g,1
망고 퓨레의 칼로리는 몇이야?,1병 (300ml)당 - 칼로리: 180kcal | 지방: 0.00g | 탄수화물: 45.00g | 단백질: 0.00g,1
망고드링크의 칼로리는 몇이야?,1팩 (190ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g,1
망고망고해의 칼로리는 몇이야?,(1인분)  (29g)당 - 칼로리: 76kcal | 지방: 0.40g | 탄수화물: 16.80g | 단백질: 1.20g,1
망고스틴의 칼로리는 몇이야?,(100g)  당 - 칼로리: 73kcal | 지방: 0.58g | 탄수화물: 17.91g | 단백질: 0.41g,1
망고컵의 칼로리는 몇이야?,(1인분)  (198g)당 - 칼로리: 145kcal | 지방: 0.40g | 탄수화물: 34.00g | 단백질: 1.00g,1
망고코코의 칼로리는 몇이야?,(1캔)(240ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g,1
망고팝의 칼로리는 몇이야?,1개 (62ml)당 - 칼로리: 42kcal | 지방: 0.70g | 탄수화물: 9.00g | 단백질: 0.00g,1
매생이의 칼로리는 몇이야?,(100g)  당 - 칼로리: 19kcal | 지방: 0.25g | 탄수화물: 4.10g | 단백질: 0.92g,1
매실 플러스의 칼로리는 몇이야?,1잔 (175ml)당 - 칼로리: 104kcal | 지방: 0.00g | 탄수화물: 26.00g | 단백질: 0.00g,1
매실의 칼로리는 몇이야?,(1개)당 - 칼로리: 30kcal | 지방: 0.18g | 탄수화물: 7.54g | 단백질: 0.46g,1
매운 해산물 곤약 리조또의 칼로리는 몇이야?,(1인분)  (270g)당 - 칼로리: 175kcal | 지방: 5.00g | 탄수화물: 29.00g | 단백질: 4.00g,1
매운탕의 칼로리는 몇이야?,(1인분)당 - 칼로리: 213kcal | 지방: 5.31g | 탄수화물: 6.24g | 단백질: 34.10g,1
매운해산물 곤약리조또의 칼로리는 몇이야?,(1인분)  (270g)당 - 칼로리: 175kcal | 지방: 5.00g | 탄수화물: 29.00g | 단백질: 4.00g,1
매일두유 베리믹스의 칼로리는 몇이야?,1팩 (190g)당 - 칼로리: 115kcal | 지방: 1.80g | 탄수화물: 23.00g | 단백질: 1.70g,1
맥콜 (160ml)의 칼로리는 몇이야?,(1캔)(160ml)당 - 칼로리: 75kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g,1
맥콜 (250ml)의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g,1
머루포도의 칼로리는 몇이야?,(100g)당 - 칼로리: 59kcal | 지방: 0.30g | 탄수화물: 14.90g | 단백질: 0.80g,1
머쉬룸 와퍼의 칼로리는 몇이야?,1개 (331g)당 - 칼로리: 778kcal | 지방: 15.00g | 탄수화물: 5.30g | 단백질: 35.00g,1
머스캣 파라다이스의 칼로리는 몇이야?,1회 (120ml)당 - 칼로리: 70kcal | 지방: 0.00g | 탄수화물: 18.00g | 단백질: 0.00g,1
머스캣의 칼로리는 몇이야?,1회 (240ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g,1
먹태의 칼로리는 몇이야?,(100g)  당 - 칼로리: 353kcal | 지방: 3.76g | 탄수화물: 0g | 단백질: 79.75g,1
멍게의 칼로리는 몇이야?,(100g)  당 - 칼로리: 78kcal | 지방: 2.66g | 탄수화물: 3.57g | 단백질: 9.34g,1
메기 반죽튀김의 칼로리는 몇이야?,1 쪽당 - 칼로리: 182kcal | 지방: 12.80g | 탄수화물: 5.03g | 단백질: 11.12g,1
메기구이의 칼로리는 몇이야?,1 쪽 필렛당 - 칼로리: 116kcal | 지방: 7.38g | 탄수화물: 0.26g | 단백질: 11.44g,1
메기의 칼로리는 몇이야?,(100g)  당 - 칼로리: 240kcal | 지방: 14.53g | 탄수화물: 8.54g | 단백질: 17.57g,1
메로골드의 칼로리는 몇이야?,(100g)  당 - 칼로리: 42kcal | 지방: 0.13g | 탄수화물: 10.61g | 단백질: 0.75g,1
메로구이의 칼로리는 몇이야?,(100g)  당 - 칼로리: 133kcal | 지방: 6.17g | 탄수화물: 0g | 단백질: 18.16g,1
메로의 칼로리는 몇이야?,(100g)  당 - 칼로리: 122kcal | 지방: 5.96g | 탄수화물: 0g | 단백질: 15.93g,1
메를로 와인의 칼로리는 몇이야?,1 150ml 잔당 - 칼로리: 123kcal | 지방: 0.00g | 탄수화물: 3.69g | 단백질: 0.10g,1
메이플 와플의 칼로리는 몇이야?,2봉지 (36g)당 - 칼로리: 175kcal | 지방: 7.00g | 탄수화물: 25.00g | 단백질: 3.00g,1
멜론소다의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 132kcal | 지방: 0.00g | 탄수화물: 33.00g | 단백질: 0.00g,1
멸치 통조림의 칼로리는 몇이야?,5 마리당 - 칼로리: 42kcal | 지방: 1.94g | 탄수화물: 0.00g | 단백질: 5.78g,1
멸치의 칼로리는 몇이야?,(100g)  당 - 칼로리: 131kcal | 지방: 4.84g | 탄수화물: 0.0g | 단백질: 20.35g,1
명란젓의 칼로리는 몇이야?,1 종지당 - 칼로리: 18kcal | 지방: 0.88g | 탄수화물: 0.28g | 단백질: 2.53g,1
명태의 칼로리는 몇이야?,(100g)  당 - 칼로리: 76kcal | 지방: 0.63g | 탄수화물: 0g | 단백질: 16.59g,1
명태조림의 칼로리는 몇이야?,(1인분)당 - 칼로리: 132kcal | 지방: 3.42g | 탄수화물: 6.04g | 단백질: 17.51g,1
모과생강의 칼로리는 몇이야?,1병 (280ml)당 - 칼로리: 152kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 0.00g,1
모과의 칼로리는 몇이야?,(100g)  당 - 칼로리: 57kcal | 지방: 0.1g | 탄수화물: 15.3g | 단백질: 0.4g,1
모히또에이드의 칼로리는 몇이야?,(1컵) (200ml)당 - 칼로리: 74kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g,1
모히또의 칼로리는 몇이야?,(1캔)(340ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g,1
목까지 시원한 배의 칼로리는 몇이야?,(1컵) (250ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g,1
무김치의 칼로리는 몇이야?,1 소접시당 - 칼로리: 18kcal | 지방: 0.16g | 탄수화물: 3.81g | 단백질: 0.78g,1
무나물의 칼로리는 몇이야?,(1인분)당 - 칼로리: 30kcal | 지방: 1.13g | 탄수화물: 4.80g | 단백질: 0.73g,1
무당 냉동 딸기의 칼로리는 몇이야?,(100g)  당 - 칼로리: 35kcal | 지방: 0.11g | 탄수화물: 9.13g | 단백질: 0.43g,1
무당 냉동 산딸기의 칼로리는 몇이야?,(100g)  당 - 칼로리: 52kcal | 지방: 0.65g | 탄수화물: 11.94g | 단백질: 1.2g,1
무당 블루베리 팩의 칼로리는 몇이야?,(1컵)당 - 칼로리: 93kcal | 지방: 0.54g | 탄수화물: 23.69g | 단백질: 1.22g,1
무말랭이의 칼로리는 몇이야?,1 소접시당 - 칼로리: 99kcal | 지방: 3.96g | 탄수화물: 15.17g | 단백질: 2.30g,1
무스카트 와인의 칼로리는 몇이야?,1 150ml 잔당 - 칼로리: 124kcal | 지방: 0.00g | 탄수화물: 7.84g | 단백질: 0.10g,1
무장아찌의 칼로리는 몇이야?,1 소접시당 - 칼로리: 49kcal | 지방: 1.07g | 탄수화물: 9.84g | 단백질: 1.65g,1
무지개 송어의 칼로리는 몇이야?,(1마리)당 - 칼로리: 109kcal | 지방: 4.27g | 탄수화물: 0.00g | 단백질: 16.49g,1
무화과의 칼로리는 몇이야?,1 조각 중간크기당 - 칼로리: 37kcal | 지방: 0.15g | 탄수화물: 9.59g | 단백질: 0.38g,1
문어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 82kcal | 지방: 1.04g | 탄수화물: 2.2g | 단백질: 14.91g,1
물김치의 칼로리는 몇이야?,(1인분)당 - 칼로리: 10kcal | 지방: 0.09g | 탄수화물: 2.22g | 단백질: 0.56g,1
물속보관한 정어리의 칼로리는 몇이야?,(100g)  당 - 칼로리: 217kcal | 지방: 12.37g | 탄수화물: 0.0g | 단백질: 24.58g,1
미니 프로틴 와퍼의 칼로리는 몇이야?,(1인분)  (22g)당 - 칼로리: 113kcal | 지방: 8.50g | 탄수화물: 8.00g | 단백질: 3.40g,1
미에로화이바의 칼로리는 몇이야?,1개 (210ml)당 - 칼로리: 85kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g,1
미역냉국의 칼로리는 몇이야?,1 대접당 - 칼로리: 37kcal | 지방: 1.24g | 탄수화물: 4.83g | 단백질: 2.89g,1
미콜의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g,1
민어의 칼로리는 몇이야?,(100g)  당 - 칼로리: 104kcal | 지방: 3.17g | 탄수화물: 0.0g | 단백질: 17.78g,1
밀당포켓밀 베이직의 칼로리는 몇이야?,1포 (65g)당 - 칼로리: 270kcal | 지방: 6.00g | 탄수화물: 42.00g | 단백질: 12.00g,1
밀로 1끼 식단의 칼로리는 몇이야?,1끼당 - 칼로리: 864kcal | 지방: 71.81g | 탄수화물: 11.05g | 단백질: 42.60g,1
밀면의 칼로리는 몇이야?,(1인분)당 - 칼로리: 410kcal | 지방: 4.85g | 탄수화물: 83.48g | 단백질: 6.40g,1
밀크소다 암바사의 칼로리는 몇이야?,(1인분)  (345g)당 - 칼로리: 181kcal | 지방: 0.00g | 탄수화물: 44.00g | 단백질: 1.20g,1
밀키스 (340ml)의 칼로리는 몇이야?,(1캔)(340ml)당 - 칼로리: 170kcal | 지방: 0.00g | 탄수화물: 42.00g | 단백질: 1.00g,1
밀키스 무스카토의 칼로리는 몇이야?,1회 (250ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 1.00g,1
밀키스 요하이 워터의 칼로리는 몇이야?,1회 (500ml)당 - 칼로리: 155kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 1.00g,1
밀키스 핑크소다의 칼로리는 몇이야?,1회 (250ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g,1
밀키스의 칼로리는 몇이야?,(1캔)(250ml)당 - 칼로리: 130kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 1.00g,1
바나나&베리 크레페의 칼로리는 몇이야?,(1인분)  (86g)당 - 칼로리: 223kcal | 지방: 11.00g | 탄수화물: 28.00g | 단백질: 3.00g,1
바나나의 칼로리는 몇이야?,(1개) 중형당 - 칼로리: 105kcal | 지방: 0.39g | 탄수화물: 26.95g | 단백질: 1.29g,1
바다살어묵의 칼로리는 몇이야?,1개 (45g)당 - 칼로리: 90kcal | 지방: 1.90g | 탄수화물: 13.00g | 단백질: 5.00g,1
